Site Name,Easement Holder Name,State,Access,Easement Purpose,Easement Holder Type,Year Established
Old Joy Farm,Great Works Regional Land Trust,ME,XA,ENV,NGO,1994
Lovers Brook Farm,Great Works Regional Land Trust,ME,XA,FARM,JNT,2005
Crocker Easement,York Land Trust,ME,XA,ENV,NGO,1995
Buell Easement,York Land Trust,ME,XA,OTH,NGO,1989
The Meadows at Dolly Gordon Brook Easement,York Land Trust,ME,XA,ENV,NGO,1996
Rams Head Farm Shoreland Easement,York Land Trust,ME,XA,ENV,NGO,1999
The Leonard Easement,York Land Trust,ME,XA,ENV,NGO,2000
Rams Head Farm Trust Easement,York Land Trust,ME,XA,ENV,NGO,1993
Sewalls Bridge Dock Easement,York Land Trust,ME,XA,OTH,NGO,2003
Schoolhouse Field,Great Works Regional Land Trust,ME,XA,HIST,NGO,2006
Surf Point 2 Easement,York Land Trust,ME,XA,ENV,NGO,2007
Hosmer Land,York Land Trust,ME,XA,ENV,NGO,2006
Lover's Brook Field,Great Works Regional Land Trust,ME,XA,FARM,JNT,2005
Lovers Brook Farm,Great Works Regional Land Trust,ME,XA,FARM,JNT,2005
Clough,York Land Trust,ME,XA,OTH,NGO,2011
Highland Farm C Easement,York Land Trust,ME,XA,FARM,NGO,2005
Highland Farm B Easement,York Land Trust,ME,XA,FARM,NGO,2005
Surf Point 1 Easement,York Land Trust,ME,XA,ENV,NGO,2007
GWRLT - Blouin Lot,Great Works Regional Land Trust,ME,XA,ENV,NGO,1994
Duncan Howlett Forest,Greater Lovell Land Trust,ME,XA,UNK,NGO,1996
Tatnic Hill II,Great Works Regional Land Trust,ME,XA,ENV,NGO,1995
GWRLT - Chick Farm,Great Works Regional Land Trust,ME,XA,FARM,NGO,1996
Pingree,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
Pingree,New England Forestry Foundation,ME,XA,UNK,NGO,2001
Pingree,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
Pingree,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
Pingree,New England Forestry Foundation,ME,XA,UNK,NGO,2001
Spednik Lake,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1994
Rangeley River Corridor,Maine Department of Inland Fisheries and Wildlife,ME,XA,ENV,STAT,1997
Sherman Lake WMA,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1995
Sherman Lake WMA,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,2004
Five Fields Farm,Maine Farmland Trust,ME,XA,FARM,JNT,2005
Sheepscot River,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Boundary Headwaters,Forest Society of Maine,ME,XA,UNK,NGO,2004
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
Pingree,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
PINGREE EASEMENT,New England Forestry Foundation,ME,XA,UNK,NGO,2001
Spruce Point,Harpswell Heritage Land Trust,ME,XA,UNK,JNT,1999
Wilshore Farms,Maine Department of Inland Fisheries and Wildlife,ME,XA,OTH,STAT,1996
Liberty Farm,Harpswell Heritage Land Trust,ME,XA,UNK,NGO,1996
Meserve Farm/Broadturn Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,STAT,2004
Meserve Farm/Broadturn Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,STAT,2004
Meserve Farm/Broadturn Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,STAT,2004
Meserve Farm/Broadturn Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,STAT,2004
Torrey Easement,Georges River Land Trust,ME,XA,UNK,NGO,2010
Hanson Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,JNT,2005
Hanson Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,JNT,2005
Hanson Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,JNT,2005
Chandler Brook Preserve,Maine Bureau of Parks and Lands,ME,RA,UNK,JNT,2004
Forest Legacy,Division of Parks and Public Lands,ME,XA,UNK,STAT,2006
Seal Cove Easement,Division of Parks and Public Lands,ME,XA,UNK,STAT,2007
Bear Paw,Small Woodland Owners Association of Maine,ME,XA,UNK,NGO,1999
Jersey Bog,Androscoggin Land Trust,ME,XA,UNK,NGO,2011
Bowden Farm,"Maine Department of Agriculture, Conservation and Forestry",ME,XA,FARM,JNT,2001
Taylor Easement,York Land Trust,ME,XA,UNK,NGO,2009
Kennebec River Estuary WMA,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,2000
Bog Road Farm,Maine Farmland Trust,ME,XA,UNK,NGO,2013
Bog Road Farm,Maine Farmland Trust,ME,XA,UNK,NGO,2013
Lubec Salt Ponds,Maine Coast Heritage Trust,ME,XA,REC,NGO,2008
Pike Lands,Downeast Coastal Conservancy,ME,XA,REC,NGO,2005
Winter Hill Farm,Freeport Conservation Trust,ME,XA,FARM,JNT,2013
Winter Hill Farm,Freeport Conservation Trust,ME,XA,FARM,JNT,2013
Winter Hill Farm,Freeport Conservation Trust,ME,XA,FARM,JNT,2013
Winter Hill Farm,Freeport Conservation Trust,ME,XA,FARM,JNT,2013
Tide Mill Creek,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,2000
Gilbert Island,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1997
Huckins Island,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1997
Talbot Cove,Unknown Easement Holder,ME,XA,ENV,UNK,1996
Forest City,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1992
Norway Drive Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1991
Fog Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1982
North Shore View,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1987
Pulpit Harbor (Norton),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1988
Whitehead Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1992
Carver Cove (2),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1994
Fiddlehead Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1984
Leadbetter Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1991
The Basin at the Entrance,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
The Basin at the Entrance,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Western Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1999
Farnsworth Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1993
Farnsworth Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1993
Fowles Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1992
Clark's Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1984
Henry Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Castle Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1986
Bonnet Hill Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Spruce Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1985
Owls Head Harbor II,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Owls Head Harbor III,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Pleasant River Farm II,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Stimpsons Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Chris's Pond,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Captains Beach,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Bald Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Bald Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Bald Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Bald Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Bald Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Crockett Cove Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Crockett Cove Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Basin (Kintner),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Mills Farm,Vinalhaven Land Trust,ME,XA,UNK,JNT,1996
Mill Priviledge (Campbell),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Cow Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Sayles Field,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
Cover Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1990
David's Folly,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1988
Twenty-Acre Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Weir Cove Islands,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Soundview,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Blueberry Hill Farm - field,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Outer Point (Pulpit Harbot),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1986
Perry Creek (Dyer),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1985
Perry Creek (Roberts),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1984
Perry Creek (Saltonstall),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1986
Perry Creek (Terry),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1984
Berry Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1986
Owls Head Harbor I,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Stave Island - Northern half,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Crockett Cove Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Acadian Ridge,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1997
Fogg Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1997
Oak Hill,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Henry Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Bear Island - South,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Norton Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Little White Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Megunticook Golf Course,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Megunticook Golf Course,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Hungry Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Battle Avenue Field,"Conservation Trust of Brooksville, Castine, and Penobscot",ME,XA,UNK,NGO,2007
Seal Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1993
Kimball Head,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1994
Hutchin's Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1985
Yellowhead Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1980
Katie Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
Three Brooks Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
Southwest Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2005
Outer Baker Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2005
Somes Pond - Pierce,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2005
"Deep Cove, Greens Island",Maine Coast Heritage Trust,ME,XA,UNK,NGO,2009
Elderling,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Coler Family Trust,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2002
Scott's Landing,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Beech Hill - McCue,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Pool View,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Pleasant Bay Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Pleasant Bay Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Money Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Saddle Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Holiday Haven,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1999
Holiday Haven,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1999
Gerrish Island (Delano),Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Enchanted Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Sheep Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Sears Island,Maine Coast Heritage Trust,ME,XA,UNK,JNT,2009
Old Point (South),Maine Coast Heritage Trust,ME,XA,UNK,NGO,2009
Eagle Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2009
Sheep Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2009
Western Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2010
Hospital Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2010
Saltmeadow,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2010
MacMahan Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2010
White Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Mosquito Head,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Green Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Camp Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Camp Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Monhonon Cove Amendment,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Lookner Farm Fields,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Camden Farm Fields (Fischer),Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Weir Cove - West,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Mackerel Cove 2,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1986
Acadian Woods I,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1994
Indian Point (Maguire),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1991
Hunters Beach,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1993
Long Pond - Seal Harbor,Maine Coast Heritage Trust,ME,XA,UNK,JNT,1993
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
The Barcelona,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
Mosquito Head - Shafer,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
"Cow Island, Casco Bay",Maine Coast Heritage Trust,ME,XA,UNK,NGO,2005
Seal Cove - Swans 1,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2002
Penobscot Island - CE,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2002
Robinson Woods,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2002
Bagaduce Ferry Landing,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Bell's Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Pilot Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1992
Weir Cove Islands,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
"Weir Cove 2, Undercliff",Maine Coast Heritage Trust,ME,XA,UNK,NGO,1988
Dolly Hill (Bancroft),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1993
Spruce Harbor 1,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1988
Spruce Harbor 2,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1988
Great Gott Island (Corporation),Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1992
Lower Day Mountain,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Youngs Mountain Lot 2,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Bagaduce- Stapleton,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2000
Bagaduce-Dixon,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
Aldermere Farm,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1999
Black Point Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Monhonon Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Megunticook Golf Course,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Marsh Island - Harvey Property,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Marsh Island - Pierce Property,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Bartlett Landing,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1991
Somes Pond (Goldstein),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1992
High Head,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1982
Duck Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1993
Yellowhead Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1980
Yellowhead Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1980
"Dick Cove, Pleasant River",Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Pirates Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2002
John B. Mountain,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Northeast Creek Farm Easement,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Haddock Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Matinicus Island - West Point Overlook,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Hyatt Property,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Bowden & Grindle Wharf Property,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Louds Island,National Audubon Society,ME,XA,UNK,NGO,1997
West Point South,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2005
Bagaduce - Hidden Meadow,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Bagaduce Narrows Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2002
The Basin - O'Neill I & II,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Maine Coast Heritage Trust Easement,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Black Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Russ Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Mill Pond,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Bartlett Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Bagaduce River Narrows,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Northeast Harbor Golf Club,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
MDIBL parcel,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Meryweather,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Blueberry Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Schoolhouse Ledge Summit,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Johnson Point CE,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Schoolhouse Ledge Summit II,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Fish Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Bagaduce - Forest Lane,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Ramsdell Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Roderick Head,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Stave Island - Fisher,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Small Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Fullers Rock,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Bog Brook Cove Farm Easement,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Acadia Mountain ROW,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Blueberry Hill and Mill Brook,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Boot Cove ROW,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1988
Winter Harbor Water District,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Winter Harbor Water District,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Ingallshore,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Ragged Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2008
Sears Island,Maine Coast Heritage Trust,ME,XA,UNK,JNT,2009
Great Gott Island (Corporation),Maine Coast Heritage Trust,ME,XA,UNK,NGO,1992
Baileys Mistake - Sylvia Lot,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2009
Baileys Mistake - Chaffee Lot,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2009
Black Island (Butler Cove CE),Maine Coast Heritage Trust,ME,XA,UNK,JNT,2010
Casco Bay Shores,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Dix Point Hamill,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Youngs Mountain Lot 2,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Seal Cove Pond Wright Parcel I,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Seal Cove Pond Wright Parcel II,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Wilson Cove (Skassen),Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Birch Island- Duck Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Herrick Bay CE,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
West Point - Amended & Restated CE,Maine Coast Heritage Trust,ME,XA,UNK,JNT,2012
Bridge End,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Camp Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Robinson Woods II,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Weir Cove - West,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Monhonon Cove Amendment,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Narrows Mountain II,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Narrows Mountain,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Maquoit Bay - Bunganuc Point (Laskey),Maine Coast Heritage Trust,ME,XA,UNK,NGO,2010
Mill Pond Point,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2009
Mill Pond,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Aunt Mollys Beach,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2012
Stone Hill,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2007
Moose Snare Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Basin High Mountain,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2006
Basin Watershed District,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2003
Schoolhouse Ledge,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2005
Lower Hadlock Pond - Dam Lot,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2011
Lakewood Farms,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2005
Matinicus Island - West Point (Ross),Maine Coast Heritage Trust,ME,XA,UNK,NGO,2004
Raven Woods,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1990
Weir Cove,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1983
Stone Barn Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2001
Day Mountain,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1998
Lower Day Mountain,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Castine Golf Course,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Bell's Farm,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1989
Ministers Creek,Maine Coast Heritage Trust,ME,XA,UNK,NGO,2002
Easter Hill,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Eastern Knubble,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1975
Barred Island Group Site Easement,Maine Coast Heritage Trust,ME,XA,ENV,NGO,1974
Thrumcap Island,Maine Coast Heritage Trust,ME,XA,UNK,JNT,1983
Hog Island (Little Kennebec Bay),Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1996
Truffant Summerton Long Reach Preserve,Maine Coast Heritage Trust,ME,XA,REC,NGO,2002
Robinson Woods,Maine Coast Heritage Trust,ME,XA,REC,NGO,2002
Falls Island Preserve,Downeast Coastal Conservancy,ME,XA,ENV,NGO,1997
Eddy Brook,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,1991
Kennebec River Estuary WMA,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,STAT,2004
Grand Lake Stream,Maine Coast Heritage Trust,ME,XA,REC,NGO,1995
Whaleboat Island Easment,Division of Parks and Public Lands,ME,XA,UNK,STAT,2002
Monroe Island,Maine Department of Inland Fisheries and Wildlife,ME,XA,UNK,JNT,1973
Holbrook Island Sanctuary,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1971
Maquoit Bay,Brunswick-Topsham Land Trust,ME,XA,ENV,JNT,2007
Little Tunk Pond,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1988
Ovens Mouth West Preserve,Maine Coast Heritage Trust,ME,RA,UNK,NGO,1994
Ovens Mouth East Preserve,Maine Coast Heritage Trust,ME,RA,UNK,NGO,1994
Ovens Mouth West Preserve,Maine Coast Heritage Trust,ME,RA,UNK,NGO,1994
Miles Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1996
Indiantown Island,Maine Coast Heritage Trust,ME,XA,UNK,NGO,1995
Saco River Floodplain - Moose Pond Brook,Upper Saco Valley Land Trust,ME,XA,UNK,NGO,2008
Long Reach,Harpswell Heritage Land Trust,ME,XA,UNK,NGO,1996
McLellan-Poor Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,2007
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,1996
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,1998
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,2001
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,2001
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,2002
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,2002
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,2002
Ducktrap River Preserve,Maine Coast Heritage Trust,ME,XA,ENV,NGO,1999
