"Site Name","Site Number","Address","Town","Description","Summary","Closed","Latitude","Longitude"
"CLAYTON LAKE LANDFILL",94975,"AMERICAN REALTY ROAD","T11 R14 WELS","","CLOSED PRIOR TO 1997. APPEARS FROM AERIAL PHOTOS TO BE MOWED AND HAVE GRASS COVERED CAP  FROM 1997 TO 2011.","POST-1976",46.60986,-69.51749
"WALDO LANDFILL",29411,"SAVAGE RD","WALDO","2.5 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.5 ACRE LANDFILL. THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.  NOTES:TELEPHONE #342-5348 (KATHY LITTLEFIELD)  1971-OPENED  OPEN BURNING DUMP","POST-1976",44.46173,-69.14394
"GREENFIELD LANDFILL",29629,"CROCKER TURN RD","GREENFIELD TWP","0.8 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 0.8 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.03782,-68.48101
"FAIRFIELD MUNI LANDFILL",29454,"MAPLE STREET","FAIRFIELD","18 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 18 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.COMMENT FROM 1993: LANDFILL CLOSURE IN PROGRESS-EVIDENCE OF LEACHATE BREAKOUT; GAS MIGRATION BARRIER AND VENT SYSTEM CONSTRUCTED, AND EXPECTED TO CATCH LEACHATE.","POST-1976",44.59629,-69.60451
"SOLON LANDFILL",29466,"RIVER RD","SOLON","3 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 3 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.HISTORICAL COMMENTS: ABANDONED 1977, NOT CLOSED TO MEET CODE #4 CATEGORY 3","POST-1976",44.91321,-69.84765
"WHITNEYVILLE LANDFILL",29751,"CANAL RD","WHITNEYVILLE","0.5 ACRE LANDFILL CLOSED IN 2008 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 2008 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 0.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.74115,-67.53693
"BROOKLIN LANDFILL",29754,"OLD COUNTY RD","BROOKLIN","2.5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.5 ACRE LANDFILL. THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.29344,-68.56723
"KENNEBUNKPORT LANDFILL",27815,"BEACHWOOD RD","KENNEBUNKPORT","7 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  7 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM. HISTORY: THE SITE WAS OPENED IN 1978 AND CLOSED IN 1985. IT IS STILL BEING MONITORED. POTENTIAL FOR GROUNDWATER CONTAMINATION STILL DOES EXIST.  SEE FILES FOR ADDITIONAL INFO. SSP SIZE IS 2500 CU. YDS. - UNCOVERED AT PUBLIC WORKS FACILITY.  A SAND/SALT STORAGE BUILDING WAS COMPLETED AT THETOWN DUMP ON 9/18/86, BUT SSP WAS STILL IN PWF.  4 WELLSWERE SAMPLED NEAR PWF SITE.  ONE HAD CL LEVELS ABOVE 250 MG/L, THREE HAD CL LEVELS ABOVE 20 MG/L.  ALL 4 HAD NA LEVELS ABOVE 20 MG/L.","POST-1976",43.38451,-70.45943
"SEDGWICK LANDFILL",29765,"OLD COUNTY RD","SEDGWICK","2.5 ACRE LANDFILL CLOSED IN 1991 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1991 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",44.33194,-68.65851
"KINGFIELD LANDFILL",29351,"RTE 16","KINGFIELD","2 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM. THE DUMP SERVES THE TOWNS OF KINGFIELD, NEW PORTLAND, AND CARRABASSETT VALLEY","POST-1976",44.95889,-70.12283
"BANGOR CITY DUMP FORMER SITE",74187,"WATCHMAKER ST","BANGOR","","A LARGE FIELD AT THE END OF WATCHMAKER ST WHICH LEADS DOWN TO A LARGE WETLANDS.  THIS IS STILL AN OPEN FIELD TO THE RIGHT AND AT THE END OF WATCHMAKER STREET. THIS WAS AN OPEN BURNING DUMP UNTIL THE MID-1960'S WHEN IT WAS CLOSED AND THE KITTREDGE STREET DUMP WAS OPENED. THERE IS A LARGE WETLANDS AT THE BASE OF THIS FIELD. THIS SITE IS EASILY WITHIN VIEW OF I-95 SOUTH. INFORMATION ON THIS SITE WAS SUPPLIED BY THE CEO OF THE CITY OF BANGOR IN 2008","PRE-1976",44.82438,-68.76602
"SWANVILLE LANDFILL",29213,"RTE 141/SWAN LAKE AVE","SWANVILLE","2.5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.  SITE ON SHALLOW-TO-BEDROCK GLACIAL TILL NEXT TO SALTMARSH.","POST-1976",44.48902,-69.00612
"DOWNEAST LANDFILL",29746,"RTE 1","STEUBEN","","FACILITY IS LOCATED ON SANDY, CEMENTED GLACIAL TILL.","PRE-1976",44.52933,-67.9666
"STRONG LANDFILL",28634,"BURBANK HILL RD","STRONG","4 ACRE LANDFILL CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1996 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 4 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.  SITE IS LOCATED APPROXIMATELY 0.3 MILES WEST OF THE INTERSECTION OF ROUTE 149 AND RTE. 4 AND 0.5 MILES NORTH OF RTE. 149 AND ON THE EASTERLY SIDE OF BURBANK HILL ROAD. GROUNDWATER ANALYSIS WAS PERFORMED BY S.W. COLE ENGINEERING AND SUBCONTRACTED TO ENVIRONMENTAL DIAGNOSTIC LABORATORIES.","POST-1976",44.8184,-70.22729
"JEFFERSON LANDFILL",29397,"HINKS RD","JEFFERSON","2.5 ACRE LANDFILL CLOSED IN 1987 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1987 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.5 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.  HISTORY: IN VIOLATION OF OPEN BURNING.  WATER TESTING DONE BY JOHN FANCY","POST-1976",44.19776,-69.51838
"WINTHROP LANDFILL",34966,"ANNABESSACOOK RD","WINTHROP","13.5 ACRE LANDFILL CLOSED IN 1988.  NATIONAL PRIORITIES LIST (NPL) SUPERFUND SITE.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1988. 13.5 ACRE LANDFILL.  NATIONAL PRIORITIES LIST (NPL) SUPERFUND SITE.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.MUNICIPAL LANDFILL, LATER ADDED TO NPL. SUPERFUND (CLEANUP) SITE.  PUMP AND TREAT SYSTEM IS MAINTAINED BY UNITED TECHNOLOGIES CORPORATION, UTC BUILDING, ONE FINANCIAL PLAZA MS:502, HARTFORD CT 06101  UNITED TECHNOLOGIES CORPORATION IS CLASSIFIED AS A RCRA LARGE QUANTITY GENERATOR FOR THE SPENT ACTIVATED CARBON FROM THE TREATMENT SYSTEM (SPENT ACTIVATED CARBON CONTAINING TOLUENE AND TRICHLOROETHENE).  MEP000010749 - FTYPE HAZ WASTE.","POST-1976",44.27563,-69.98811
"HIGHLAND PLT LANDFILL",29456,"LONG FALLS DAM RD","HIGHLAND PLT","0.5 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 0.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.  CLOSURE BY INTERIM COVER AND GRADING PROCEDURE OF RURAL DUMP.  NO MONITORING WELLS AT SITE.","POST-1976",45.05434,-70.0783
"EXETER LANDFILL",29626,"OLD COLBATH RD","EXETER","3.3 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 3.3 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",44.9488,-69.07258
"ROCKY HILL DEMO DEBRIS LANDFILL",28189,"METHODIST RD","WESTBROOK","12 ACRE LANDFILL CLOSED IN 2000 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 2000 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 12 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.  HISTORICAL NOTES: FORMERLY CALLED ROCKY HILL DEMO DEBRIS. CDD LANDFILL NO LONGER OPERATING.  SITE HAS BEEN DISCONTINUED AS SAND/SALT PILE TOO.  UPDATE 3/00.  NO PURE SALT OR SAND/SALT WAS FOUND AT THE SITE DURING THE INVESTIGATION.  THEY MUST JUST DUMP PILES HERE OCCASIONALLYIN WINTER TO PROVIDE COVERAGE FOR THE NORTH END OF TOWN.ALL OF THE AREA'S WATER IS CITY WATER.","POST-1976",43.73641,-70.3547
"LAKEVIEW PLANTATION LANDFILL",29566,"LAKEVIEW RD","LAKE VIEW PLT","2.5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  2.5 ACRE LANDFILL. THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.32114,-68.92432
"PRESQUE ISLE DUMP",29876,"RTE 163 MAPLETON RD","MAPLETON","","OLD CONE BURNER SITE. FORMER LANDFILL AND TRANSFER STATION.","PRE-1976",46.6831,-68.06281
"ORIENT LANDFILL",29873,"RTE 1","ORIENT","2 ACRE LANDFILL CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1994 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.84432,-67.85154
"WINTER HARBOR LANDFILL",27503,"RTE 186  NEWMAN ST","WINTER HARBOR","1.3 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 1.3 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.   HISTORICAL NOTES: MUNICIPAL SOLID WASTE FACILITY, OPEN BURNING DUMP, 1971-77. NAVAL SECURITY GROUP ACTIVITY DISPOSED OF ELECTRICAL COMPONENTS W/PCBS - APPROX. 90 LBS. PCB TOTAL.  UNITS HAVE MOST LIKELY CORRODED, THEREFORE LEAKING. GW QUALITY NOT ADVERSELY AFFECTED AS OF 10/83. REFERRED TO SOLID WASTE.","POST-1976",44.41601,-68.09764
